Neighborhood,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
"Alpha, August-Everding-Straße, Bezirksteil Echarding, Berg am Laim, München, Bayern, 81671, Deutschland",Italian Restaurant,Café,Plaza,German Restaurant,Thai Restaurant,Bar,Gym / Fitness Center,French Restaurant,Supermarket,Hotel
"Bamberger Straße, Nachodstraße, Wilmersdorf, Charlottenburg-Wilmersdorf, Berlin, 10779, Deutschland",Hotel,Plaza,Dessert Shop,Cocktail Bar,Gourmet Shop,Monument / Landmark,Seafood Restaurant,Greek Restaurant,Bakery,Italian Restaurant
"Berlin Nordbahnhof, Bärbel-Bohley-Ring, Gesundbrunnen, Mitte, Berlin, 13355, Deutschland",Café,Coffee Shop,Bakery,Ice Cream Shop,Vietnamese Restaurant,Bistro,Park,Bar,Wine Bar,Doner Restaurant
"Bootsverleih, Kleinhesselohe, Bezirksteil Kleinhesselohe, Schwabing-Freimann, München, Bayern, 80802, Deutschland",Bar,Italian Restaurant,Trattoria/Osteria,Café,Hotel,German Restaurant,Vietnamese Restaurant,Bakery,Thai Restaurant,Plaza
"Brudermühlbrücke, Brudermühlstraße, Bezirksteil Sendlinger Feld, Sendling, München, Bayern, 81379, Deutschland",Italian Restaurant,Café,German Restaurant,Bar,Bakery,Greek Restaurant,Pub,Turkish Restaurant,Beer Garden,Spanish Restaurant
"Brudermühlstraße, Bezirksteil Sendlinger Feld, Sendling, München, Bayern, 81371, Deutschland",Italian Restaurant,Supermarket,Hotel,German Restaurant,Drugstore,Bakery,Café,Gastropub,Greek Restaurant,Vietnamese Restaurant
"Burgfriedensäule, Burgfriedenweg, Bezirksteil Englischer Garten Süd, Altstadt-Lehel, München, Bayern, 80538, Deutschland",Café,Italian Restaurant,Plaza,Ice Cream Shop,German Restaurant,Trattoria/Osteria,Pizza Place,Bar,Cocktail Bar,River
"Bürohaus Annenhöfe, Annenstraße, Luisenstadt, Mitte, Berlin, 10179, Deutschland",Coffee Shop,Art Gallery,Bar,Nightclub,Turkish Restaurant,German Restaurant,Café,Yoga Studio,Indie Movie Theater,Organic Grocery
"Fahrrad Flöckner, 46, Karl-Marx-Allee, Mitte, Berlin, 10178, Deutschland",Hotel,Nightclub,Coffee Shop,Indie Movie Theater,Café,Beer Garden,Thai Restaurant,Italian Restaurant,Bakery,Historic Site
"Freiluftkino Hasenheide, Columbiadamm, Neukölln, Berlin, 10965, Deutschland",Bar,Café,Coffee Shop,Pizza Place,Indie Movie Theater,Italian Restaurant,Vegetarian / Vegan Restaurant,Turkish Restaurant,Farmers Market,Garden
"Freiwillige Feuerwehr Urban, Wilmsstraße, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10961, Deutschland",Italian Restaurant,Café,Coffee Shop,Bar,Turkish Restaurant,German Restaurant,Cocktail Bar,Dance Studio,Bistro,Gourmet Shop
"Golling Hairstyling, Gollierstraße, Bezirksteil Westend, Schwanthalerhöhe, München, Bayern, 80339, Deutschland",Hotel,Café,German Restaurant,Bavarian Restaurant,Bar,Italian Restaurant,Sushi Restaurant,Music Venue,Supermarket,Asian Restaurant
"Grundschule an der Blutenburgstraße, Adamstraße, Bezirksteil Marsfeld, Maxvorstadt, München, Bayern, 80636, Deutschland",Café,Hotel,German Restaurant,Ice Cream Shop,Steakhouse,Plaza,Italian Restaurant,Restaurant,Asian Restaurant,Trattoria/Osteria
"Informationsort Schwerbelastungskörper, 100, General-Pape-Straße, Tempelhof, Tempelhof-Schöneberg, Berlin, 12101, Deutschland",Italian Restaurant,Café,Ice Cream Shop,Pizza Place,Gym / Fitness Center,Cocktail Bar,French Restaurant,Bistro,Bar,Organic Grocery
"Jugendhaus B8, Berlichingenstraße, Moabit, Mitte, Berlin, 10553, Deutschland",Café,Burger Joint,Vietnamese Restaurant,Pizza Place,Coffee Shop,Gym / Fitness Center,Drugstore,Bar,Breakfast Spot,Asian Restaurant
"Kaiser Wilhelm-und Augusta-Stiftung, 57, Reinickendorfer Straße, Leopoldkiez, Gesundbrunnen, Mitte, Berlin, 13347, Deutschland",Bar,Café,Pizza Place,Turkish Restaurant,Italian Restaurant,Coffee Shop,Park,Grocery Store,Drugstore,Brewery
"Kreisverwaltungsreferat, 19, Ruppertstraße, Am Schlachthof, Bezirksteil Am Schlachthof, Ludwigsvorstadt-Isarvorstadt, München, Bayern, 80337, Deutschland",Café,German Restaurant,Italian Restaurant,Ice Cream Shop,Bar,Vietnamese Restaurant,Asian Restaurant,Burger Joint,Drugstore,Bistro
"Landesamt für Gesundheit und Soziales Berlin - Zentrale Leistungsstelle für Asylbewerber, Perleberger Straße, Moabit, Mitte, Berlin, 10559, Deutschland",Café,Bar,Hotel,Turkish Restaurant,Vietnamese Restaurant,Cocktail Bar,Coffee Shop,Trattoria/Osteria,Burger Joint,Gym / Fitness Center
"Liebknechtbrücke, Karl-Liebknecht-Straße, Mitte, Berlin, 10178, Deutschland",Hotel,History Museum,Art Gallery,Café,Bookstore,Concert Hall,Optical Shop,Plaza,Coffee Shop,German Restaurant
"MY.B, Heidestraße, Moabit, Mitte, Berlin, 10557, Deutschland",Hotel,Coffee Shop,Bar,Middle Eastern Restaurant,Science Museum,Drugstore,Falafel Restaurant,Bistro,Italian Restaurant,Cocktail Bar
"Mittelschule Wittelsbacherstraße, 10, Wittelsbacherstraße, Bezirksteil Glockenbach, Ludwigsvorstadt-Isarvorstadt, München, Bayern, 80469, Deutschland",Café,German Restaurant,Ice Cream Shop,Italian Restaurant,Coffee Shop,Plaza,Bar,Vietnamese Restaurant,Cocktail Bar,Bavarian Restaurant
"Müllerhalle, Lüderitzstraße, Afrikanisches Viertel, Wedding, Mitte, Berlin, 13351, Deutschland",Café,Bar,Turkish Restaurant,Ice Cream Shop,Park,Chinese Restaurant,Drugstore,Coffee Shop,Fast Food Restaurant,Middle Eastern Restaurant
"P 3, Columbiadamm, Tempelhof, Tempelhof-Schöneberg, Berlin, 12101, Deutschland",Italian Restaurant,Café,Bar,Ice Cream Shop,Historic Site,Music Venue,Cocktail Bar,Coffee Shop,Park,Gym
"Pallasseum, Pallasstraße, Schöneberg, Tempelhof-Schöneberg, Berlin, Deutschland",Café,Coffee Shop,Bar,Hotel,Pizza Place,Plaza,Ice Cream Shop,Cocktail Bar,Park,Organic Grocery
"Pierburg GmbH Werk Berlin, Scheringstraße, Gesundbrunnen, Mitte, Berlin, 13355, Deutschland",Café,Bar,Coffee Shop,Restaurant,Gym / Fitness Center,Dance Studio,Hotel,Nightclub,Supermarket,Trail
"Red Rose Club, 14, Saarbrücker Straße, Prenzlauer Berg, Pankow, Berlin, 10405, Deutschland",Ice Cream Shop,Coffee Shop,Bakery,Beer Bar,Italian Restaurant,Wine Bar,Café,Bistro,German Restaurant,Hotel
"Staatsbibliothek zu Berlin, 33, Potsdamer Straße, Tiergarten, Mitte, Berlin, 10785, Deutschland",Hotel,Art Gallery,Concert Hall,Spa,Plaza,Monument / Landmark,Park,Art Museum,Coffee Shop,Hotel Bar
"Stilwerk, Kantstraße, Charlottenburg, Charlottenburg-Wilmersdorf, Berlin, 10623, Deutschland",Hotel,Zoo Exhibit,Bakery,Gourmet Shop,Furniture / Home Store,Jazz Club,Theater,Seafood Restaurant,Burger Joint,Restaurant
"Urgarten, Magnus-Hirschfeld-Ufer, Moabit, Mitte, Berlin, 10557, Deutschland",Hotel,Plaza,Park,Concert Hall,Spa,Monument / Landmark,Restaurant,Hotel Bar,Waterfront,Art Museum
"Zschokkestraße, Neu-Friedenheim, Bezirksteil Friedenheim, Laim, München, Bayern, 80686, Deutschland",Supermarket,Hotel,Italian Restaurant,Drugstore,Bakery,Doner Restaurant,Plaza,Music Venue,Greek Restaurant,Burger Joint
